Time,Untitled 16,Untitled 17,Untitled 18,Flow,Set to (mL/min),Time0
02/13/20 10:30 AM,-0.039485,0,500.830293,198,300,07:30:00 PM
02/13/20 10:35 AM,-0.041635,0,499.949262,180,300,07:34:57 PM
02/13/20 10:40 AM,-0.041612,0,499.997616,180,300,07:39:55 PM
02/13/20 10:45 AM,-0.041497,0,503.509447,180,300,07:45:00 PM
02/13/20 10:50 AM,-0.041488,0,502.530068,198,300,07:49:57 PM
02/13/20 10:55 AM,-0.041802,0,501.376122,198,300,07:54:59 PM
02/13/20 11:00 AM,-0.041763,0,502.82839,198,300,07:59:56 PM
02/13/20 11:05 AM,-0.041429,0,3984.955489,198,300,08:04:58 PM
02/13/20 11:10 AM,-0.041124,0,493.123114,216,300,08:09:56 PM
02/13/20 11:15 AM,-0.041783,0,502.970994,198,300,08:14:58 PM
02/13/20 11:20 AM,-0.041524,0,505.374775,198,300,08:19:55 PM
02/13/20 11:25 AM,-0.041514,0,504.785508,198,300,08:24:55 PM
02/13/20 11:30 AM,-0.041543,0,498.887107,216,300,08:30:00 PM
02/13/20 11:35 AM,-0.041048,0.138895,509.826646,198,300,08:34:59 PM
02/13/20 11:40 AM,-0.041507,0.512944,502.56449,198,300,08:39:55 PM
