Time,Tank 1 ,Tank 2,Tank 3,Tank 4,Tank 5 ,Tank 6,Tank 7,Tank 8,Tank 9,Tank 10,Tank 11,Tank 12
08/15/2020 20:15:00,28.03039,28.05236,28.06486,28.02621,28.02341,28.02539,28.01516,28.04932,28.01449,27.99935,27.99231,28.01303
08/15/2020 20:20:00,28.02506,28.05232,28.04773,28.00548,28.00184,28.05693,28.00939,28.02077,28.00546,28.01216,28.03336,28.0688
08/15/2020 20:25:00,28.00408,28.04178,28.03854,28.00476,28.00048,28.03944,28.00558,27.99397,28.01434,28.05908,28.04826,28.07601
08/15/2020 20:30:00,28.00084,28.0161,28.02246,28.00817,28.01834,28.02662,28.01325,28.05291,28.03785,28.04955,28.03216,28.05868
08/15/2020 20:35:00,28.04729,27.99771,28.01148,28.04447,28.03097,28.00151,28.00069,28.0627,28.02929,28.0267,28.02043,28.03024
08/15/2020 20:40:00,28.04511,28.03596,27.99959,28.04757,28.03344,28.00346,28.00358,28.03044,28.01667,28.01138,28.00548,28.02002
08/15/2020 20:45:00,28.02777,28.04208,28.03993,28.03259,28.02218,28.04475,28.00726,27.99976,28.00477,27.99553,28.00399,28.00205
08/15/2020 20:50:00,28.00987,28.02464,28.05245,28.02188,28.00649,28.04003,28.00346,28.02738,28.00438,28.04773,28.02456,28.03788
08/15/2020 20:55:00,28.0044,28.00217,28.04993,28.00231,27.99831,28.02195,28.00599,28.05327,28.02554,28.05463,28.02049,28.06009
08/15/2020 21:00:00,28.02626,27.99587,28.03056,28.00485,28.01567,28.00405,28.01307,28.01634,28.02013,28.04073,28.01595,28.04649
08/15/2020 21:05:00,28.02392,28.04509,28.02277,28.00535,28.0391,27.99664,28.02506,27.99359,28.01471,28.01775,27.99617,28.02505
08/15/2020 21:10:00,28.01135,28.06117,28.00149,28.04785,28.04044,28.04908,28.0202,28.05106,27.99372,27.99215,28.02318,28.00377
08/15/2020 21:15:00,28.0021,28.04591,28.00303,28.05098,28.02565,28.04311,28.02341,28.0281,28.03456,28.02361,28.02585,28.00705
08/15/2020 21:20:00,28.02316,28.02179,28.04177,28.03503,28.02074,28.03577,28.02046,28.00133,28.03506,28.06911,28.01259,28.05281
08/15/2020 21:25:00,28.06216,28.00144,28.05529,28.03918,28.00356,28.00669,28.01262,28.00659,28.02652,28.05911,28.00526,28.0467
